synagogue_id,synagogue_name,status,founded_year,founded_text,closed_year,closed_text,street_address,neighborhood,city,state,zip_code,latitude,longitude,address_is_current,rabbi_name,rabbi_title,rabbi_start_year,rabbi_end_year,history_content,entry_type,history_year
619b09d0-d4dd-4e10-80b6-042501db9efe,A.M. Burd's Shul,unknown,null,null,null,null,Westview & Wissahickon Ave,null,Philadelphia,PA,null,39.95272370,-75.16352620,true,null,null,null,null,Services in private chapel of Burd's home. Burd was also affiliated with Ohel Jacob,general,null
eb145541-cb6c-4cb4-a024-3b9f157f5b20,Abraham Potash Shtiebl [Reverend],unknown,1955,1955,null,null,1031 Wyoming Ave,Feltonville,Philadelphia,PA,null,40.01901980,-75.10405910,true,null,null,null,null,Trade Shul of shochtim (ritual slaughterers) under Rabbi Ephraim Yolles. Relocated from Strawberry Mansion.,general,null
5bbeb973-9757-4883-b9db-e285ed3f4c14,"Achdus B'nai Israel. See, B'nai Israel @ E. Erie",unknown,null,null,null,null,540 W. Erie Ave,null,Philadelphia,PA,19140,40.00733795,-75.13853991,true,null,null,null,null,null,null,null
c0e05314-3433-40e4-83d3-1caf999a0726,Adas Israel,closed,null,null,1875,1875,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
a9d71be9-d5cb-45d5-bea6-2b09e7d2c7fb,Adas Moishe Montefiore,closed,1907,[1916],1971,Sold 1971,2911 N.9th St,null,Philadelphia,PA,19133,39.99619395,-75.14520386,true,Fyne,null,1940,null,"Served businessmen of 5th & Lehigh. Began at 5th & Cambria. 2 storey red brick. Built 1875. Synagogue dedicated in 1916. Rebuilt 1953. Subsequently, Providence Baptist Church. [Austrian & Russian]",ethnic_origin,null
a9d71be9-d5cb-45d5-bea6-2b09e7d2c7fb,Adas Moishe Montefiore,closed,1907,[1916],1971,Sold 1971,2911 N.9th St,null,Philadelphia,PA,19133,39.99619395,-75.14520386,true,Leon Hurowitz,null,null,null,"Served businessmen of 5th & Lehigh. Began at 5th & Cambria. 2 storey red brick. Built 1875. Synagogue dedicated in 1916. Rebuilt 1953. Subsequently, Providence Baptist Church. [Austrian & Russian]",ethnic_origin,null
a9d71be9-d5cb-45d5-bea6-2b09e7d2c7fb,Adas Moishe Montefiore,closed,1907,[1916],1971,Sold 1971,2911 N.9th St,null,Philadelphia,PA,19133,39.99619395,-75.14520386,true,Isaac Sofronski,null,null,null,"Served businessmen of 5th & Lehigh. Began at 5th & Cambria. 2 storey red brick. Built 1875. Synagogue dedicated in 1916. Rebuilt 1953. Subsequently, Providence Baptist Church. [Austrian & Russian]",ethnic_origin,null
a9d71be9-d5cb-45d5-bea6-2b09e7d2c7fb,Adas Moishe Montefiore,closed,1907,[1916],1971,Sold 1971,2911 N.9th St,null,Philadelphia,PA,19133,39.99619395,-75.14520386,true,Maurice Novoseller,null,null,null,"Served businessmen of 5th & Lehigh. Began at 5th & Cambria. 2 storey red brick. Built 1875. Synagogue dedicated in 1916. Rebuilt 1953. Subsequently, Providence Baptist Church. [Austrian & Russian]",ethnic_origin,null
a9d71be9-d5cb-45d5-bea6-2b09e7d2c7fb,Adas Moishe Montefiore,closed,1907,[1916],1971,Sold 1971,2911 N.9th St,null,Philadelphia,PA,19133,39.99619395,-75.14520386,true,David B. Swiren,null,null,null,"Served businessmen of 5th & Lehigh. Began at 5th & Cambria. 2 storey red brick. Built 1875. Synagogue dedicated in 1916. Rebuilt 1953. Subsequently, Providence Baptist Church. [Austrian & Russian]",ethnic_origin,null
213a2e5a-d320-4191-a8e7-53bda4d22dde,"Adat Beyt Mosheh Also, [The] Colored Hebrew Community",unknown,1951,1951,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[African American],ethnic_origin,null
c8a6e4ca-6292-45de-ac32-42fae486c9b1,Adath Emanu-el,unknown,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
c1d7e1c0-f10a-4528-9d4c-ee75101e9d03,Adath Haemrth Israel [?],unknown,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[African American],ethnic_origin,null
0d2f5ce9-9ee4-4126-9d78-b9122921aa23,Adath Israel,unknown,1873,1873,null,null,832 N. Marshall St,null,Philadelphia,PA,19123,39.96680418,-75.14811545,true,null,null,null,null,null,null,null
62d01045-476d-4be3-baf4-6da25afdc7fb,Adath Israel Nusach Sfard,unknown,1902,[1903],null,null,224 Christian St,South Philadelphia,Philadelphia,PA,19146,39.93612440,-75.14798371,true,null,null,null,null,Previously at 843 S.3rd.,general,null
91a75e7a-f93d-42d6-9ebc-4c602e76df65,Adath Israel of the Main Line,active,1946,1946,null,Active,250 North Highland Ave (at Old Lancaster Rd),null,Philadelphia,PA,null,39.95272370,-75.16352620,true,Steven Wernick Robert Rubin,null,null,null,Founded by 20 members in a house in Havertown. In 1953 purchased current site and broke ground. In 1959 dedicated new sanctuary.,general,null
