id,name,founded_year,founded_text,closed_year,closed_text,status,created_at,updated_at,created_by,approved,approved_by,approved_at,search_vector
619b09d0-d4dd-4e10-80b6-042501db9efe,A.M. Burd's Shul,null,null,null,null,unknown,2026-02-21 20:43:49.357167+00,2026-02-21 20:43:49.357167+00,null,true,null,null,'a.m':1 'burd':2 'shul':4
eb145541-cb6c-4cb4-a024-3b9f157f5b20,Abraham Potash Shtiebl [Reverend],1955,1955,null,null,unknown,2026-02-21 20:43:49.357167+00,2026-02-21 20:43:49.357167+00,null,true,null,null,'abraham':1 'potash':2 'reverend':4 'shtiebl':3
5bbeb973-9757-4883-b9db-e285ed3f4c14,"Achdus B'nai Israel. See, B'nai Israel @ E. Erie",null,null,null,null,unknown,2026-02-21 20:43:49.357167+00,2026-02-21 20:43:49.357167+00,null,true,null,null,"'achdus':1 'b':2,6 'e':9 'eri':10 'israel':4,8 'nai':3,7 'see':5"
c0e05314-3433-40e4-83d3-1caf999a0726,Adas Israel,null,null,1875,1875,closed,2026-02-21 20:43:49.357167+00,2026-02-21 20:43:49.357167+00,null,true,null,null,'ada':1 'israel':2
a9d71be9-d5cb-45d5-bea6-2b09e7d2c7fb,Adas Moishe Montefiore,1907,[1916],1971,Sold 1971,closed,2026-02-21 20:43:49.357167+00,2026-02-21 20:43:49.357167+00,null,true,null,null,'ada':1 'moish':2 'montefior':3
213a2e5a-d320-4191-a8e7-53bda4d22dde,"Adat Beyt Mosheh Also, [The] Colored Hebrew Community",1951,1951,null,null,unknown,2026-02-21 20:43:49.357167+00,2026-02-21 20:43:49.357167+00,null,true,null,null,'adat':1 'also':4 'beyt':2 'color':6 'communiti':8 'hebrew':7 'mosheh':3
c8a6e4ca-6292-45de-ac32-42fae486c9b1,Adath Emanu-el,null,null,null,null,unknown,2026-02-21 20:43:49.357167+00,2026-02-21 20:43:49.357167+00,null,true,null,null,'adath':1 'el':4 'emanu':3 'emanu-el':2
c1d7e1c0-f10a-4528-9d4c-ee75101e9d03,Adath Haemrth Israel [?],null,null,null,null,unknown,2026-02-21 20:43:49.357167+00,2026-02-21 20:43:49.357167+00,null,true,null,null,'adath':1 'haemrth':2 'israel':3
0d2f5ce9-9ee4-4126-9d78-b9122921aa23,Adath Israel,1873,1873,null,null,unknown,2026-02-21 20:43:49.357167+00,2026-02-21 20:43:49.357167+00,null,true,null,null,'adath':1 'israel':2
62d01045-476d-4be3-baf4-6da25afdc7fb,Adath Israel Nusach Sfard,1902,[1903],null,null,unknown,2026-02-21 20:43:49.357167+00,2026-02-21 20:43:49.357167+00,null,true,null,null,'adath':1 'israel':2 'nusach':3 'sfard':4
91a75e7a-f93d-42d6-9ebc-4c602e76df65,Adath Israel of the Main Line,1946,1946,null,Active,active,2026-02-21 20:43:49.357167+00,2026-02-21 20:43:49.357167+00,null,true,null,null,'adath':1 'israel':2 'line':6 'main':5
1ef846bd-e5ed-41af-a3ba-bcd5f5d1b4a2,Adath Jeshurun,1854,1854,null,Active,active,2026-02-21 20:43:49.357167+00,2026-02-21 20:43:49.357167+00,null,true,null,null,'adath':1 'jeshurun':2
cb8558a8-5832-4146-ae6c-7de003c5df28,Adath Jeshurun Havurah,null,null,null,null,unknown,2026-02-21 20:43:49.357167+00,2026-02-21 20:43:49.357167+00,null,true,null,null,'adath':1 'havurah':3 'jeshurun':2
ff391012-fb4d-4ca1-b990-a7bef4a7ef68,"Adath Jeshurun Talmud Torah Congregation. Also, Ezras Israel; [The] Carpenter's Shul",1918,1918,1962,1962,closed,2026-02-21 20:43:49.357167+00,2026-02-21 20:43:49.357167+00,null,true,null,null,'adath':1 'also':6 'carpent':10 'congreg':5 'ezra':7 'israel':8 'jeshurun':2 'shul':12 'talmud':3 'torah':4
04b022de-2b71-4040-8786-b8dca04256a0,Adath Shalom,1956,1956,null,null,unknown,2026-02-21 20:43:49.357167+00,2026-02-21 20:43:49.357167+00,null,true,null,null,'adath':1 'shalom':2
3390d514-9991-405c-bbbe-b9d6c305ccf6,Adath Shalom.,1950,1950's,null,null,unknown,2026-02-21 20:43:49.357167+00,2026-02-21 20:43:49.357167+00,null,true,null,null,'adath':1 'shalom':2
60dbb1b5-8ddd-4c23-bfa7-a0e7d0e6cf06,Adath Tikvah - Montefiore,null,null,null,null,unknown,2026-02-21 20:43:49.357167+00,2026-02-21 20:43:49.357167+00,null,true,null,null,'adath':1 'montefior':3 'tikvah':2
25263956-5acd-4e82-9eec-6c2f5b8fc6c3,Adath Tikvah of Whitaker Ave,1961,[1972],null,null,unknown,2026-02-21 20:43:49.357167+00,2026-02-21 20:43:49.357167+00,null,true,null,null,'adath':1 'ave':5 'tikvah':2 'whitak':4
