synagogue_name,street_address,neighborhood,city,state,full_address,is_current,address_order
A.M. Burd's Shul,Westview & Wissahickon Ave,Mount Airy,Philadelphia,PA,"Westview & Wissahickon Ave, Philadelphia, PA",True,0
Abraham Potash Shtiebl [Reverend],1031 Wyoming Ave,Logan,Philadelphia,PA,"1031 Wyoming Ave, Philadelphia, PA",True,0
"Achdus B'nai Israel. See, B'nai Israel @ E. Erie",540 W. Erie Ave,North Philly,Philadelphia,PA,"540 W. Erie Ave, Philadelphia, PA",True,0
Adas Moishe Montefiore,2911 N.9th St,North Philly,Philadelphia,PA,"2911 N.9th St, Philadelphia, PA",True,0
"Adat Beyt Mosheh
Also, [The] Colored Hebrew Community",1700 W. Girard Ave,North Philly,Philadelphia,PA,"1700 W. Girard Ave, Philadelphia, PA",True,0
Adath Israel,832 N. Marshall St,Northern Liberties,Philadelphia,PA,"832 N. Marshall St, Philadelphia, PA",True,0
Adath Israel Nusach Sfard,224 Christian St,South Philly,Philadelphia,PA,"224 Christian St, Philadelphia, PA",True,0
Adath Israel of the Main Line,250 North Highland Ave,Main Line,Philadelphia,PA,"250 North Highland Ave, Philadelphia, PA",True,0
Adath Israel of the Main Line,(at Old Lancaster Rd),,Philadelphia,PA,"(at Old Lancaster Rd), Philadelphia, PA",False,1
Adath Jeshurun,7763 Old York Rd,Elkins Park North Philly,Philadelphia,PA,"7763 Old York Rd, Philadelphia, PA",True,0
Adath Jeshurun,2109 N Broad St (at Diamond St),Marshall St,Philadelphia,PA,"2109 N Broad St (at Diamond St), Philadelphia, PA",False,1
Adath Jeshurun,7th St & Columbia Ave,North Philly,Philadelphia,PA,"7th St & Columbia Ave, Philadelphia, PA",False,2
Adath Jeshurun,Juliana St,Northern Liberties,Philadelphia,PA,"Juliana St, Philadelphia, PA",False,3
Adath Jeshurun,New Market &            Noble Sts,Northern Liberties,Philadelphia,PA,"New Market &            Noble Sts, Philadelphia, PA",False,4
Adath Jeshurun,3rd & Brown Sts,Northern Liberties,Philadelphia,PA,"3rd & Brown Sts, Philadelphia, PA",False,5
Adath Jeshurun Havurah,7763 Old York Rd,Elkins Park,Philadelphia,PA,"7763 Old York Rd, Philadelphia, PA",True,0
"Adath Jeshurun Talmud Torah Congregation. Also, Ezras Israel; [The] Carpenter's Shul",2113 S. 6th St (at Cantrell St),South Philly,Philadelphia,PA,"2113 S. 6th St (at Cantrell St), Philadelphia, PA",True,0
Adath Shalom,8022 Rugby St,Mount Airy,Philadelphia,PA,"8022 Rugby St, Philadelphia, PA",True,0
