synagogue,full_address,years
Adath Israel of the Main Line,"Montgomery and Wynnewood Avenues; Wynnewood, PA",1949-54
Adath Israel,"Old Lancaster Road and Highland Avenue; Merion Station, PA",1955-1978
Adath Israel,"250 N. Highland Avenue; Merion Station, PA  19066",1998-2017
Adath Jeshurun,"509 Ashbourne Road; Elkins Park, PA",1960-1963
Adath Jeshurun,"York and Ashbourne Roads; Elkins Park, PA",1964-1992
Adath Shalom,"Marshall and Ritner Streets; Philadelphia, PA",1961-2001
Ahavath Zion,"4334 Paul; Philadelphia, PA",1936-1957
Ahavath Zion,"Pennway and Friendship Streets; Philadelphia, PA",1959-1996
Ahavath Zion,"7101 Pennway Street; Philadelphia, PA",1977-2007
Ahavath Israel of Kensington.,"2304 North Mascher Street; Philadelphia, PA",1936
Ahavas Israel,"2302 North Mascher Street; Philadelphia, PA",1950-1981
Ahavas Israel,"7976 Summerdale Avenue; Philadelphia, PA",1982-1988
Aitz Chaim VeZichron Jacob,32nd and Cumberland Streets; Philadelphia; PA,1961-1966
Tifereth Israel,"Sixth and Morris Streets; Philadelphia, PA",1936-1975
Beth Ahavah,"2116 Walnut Street; Philadelphia, PA",1980-1987
Jewish Congregation of,"9201 Old Bustleton Avenue; Philadelphia, PA 19115-4684",1957-2017
Beth Am Israel,"5720 Beaumont Avenue; Philadelphia, PA",1950-1961
Beth Am Israel,"58th Street and Warrington Ave.; Philadelphia, PA",1961-1970
Beth Am Israel,"209 Forrest Avenue; Narberth, PA",1971-1972
Beth Chaim Reform Congregation,"5220 Wynnefield Avenue; Philadelphia, PA",1950-1985
Beth Chaim Reform Congregation,"1130 Vaughans Lane; Gladwyne, PA 19035",1986-2017
Beth El,"58th and Walnut Streets; Philadelphia, PA",1936-1969
Beth Israel,"Conshohocken and Country Club Roads; Philadelphia, PA",1957-1962
Brith Israel Congregation,"25 South Fifth Avenue; Coatesville, PA",1988-1994
Beth Israel,"Sumneytown Pike and Valley Forge Road; Lansdale, PA",1970-1982
Beth Israel,"1080 Sumneytown Pike; Lansdale, PA",1983-1988
Beth Judah,"5426 Sansom Street; Philadelphia, PA",1950-1967
Beth HaMedrash Hare,7926 Algon Avenue; Philadelphia PA,2008
Beth Solomon,"2300 South Sixth Street; Philadelphia, PA",1961-1965
Dorshe Sholom Congregation,"Foxcroft and Old York Roads; Elkins Park, PA",1955-1993
Dorshe Sholom Congregation,"8231 Old York Road; Elkins Park, PA 19027",1994-2017
Beth Solomon,"601 East Sedgwick Street; Philadelphia, PA",1961-1975
"Beth El, Suburban","11006 Audubon Avenue; Somerton, PA",1972-1998
Beth Tikvah,"1001 Paper Mill Road; Erdenheim, PA",1961-2010
Beth Tovim,"59th Street and Drexel Road; Philadelphia, PA",1964-1985
Beth Tovim,"5871 Drexel Road; Philadelphia, PA 19131",1986-2017
Beth Uziel,"Rorer Street and Wyoming Avenue; Philadelphia, PA",1955-1995
Har Zion Temple,"318 South 19th Street; Philadelphia, PA",1949-1952
Beth Zion-Beth Israel [Temple],"18th and Spruce Streets; Philadelphia, PA",1953-1994
B'nai Aaron,"5300 Euclid Avenue; Philadelphia, PA",1936-1963
B'nai Abraham,"521-527 Lombard Street; Philadelphia, PA",1980-2000
B'nai Abraham,"527 Lombard Street; Philadelphia, PA",2001-2017
B'nai Abraham Jewish Center,"Willets and Eastview Roads; Philadelphia, PA",1962-1982
B'nai Israel of Olney,"Tenth and Ruscomb Streets; Philadelphia, PA",1951-1975
B'nai Israel of Olney,"Tenth and Rockland Streets; Philadelphia, PA",1956-1961
B'nai Jacob,"1145 Gilham Street; Philadelphia, PA",1961-1982
B'nai Jeshurun Ahavas Chesed,"Stenton Avenue and Dorset Street; Philadelphia, PA",1959-1972
B'nai Moishe,"2339 North 31st Street; Philadelphia, PA",1961-1968
B'nai Torah,"Bustleton Avenue and Lawler Street; Philadelphia, PA",1970
B'nai Sholom,"4850 North Seventh Street; Philadelphia, PA",1960-1973
Ahavas Torah Congregation,"3620 Morrell Avenue; Philadelphia, PA",1962-1965
Ahavas Torah Congregation,"11082 Knights Road; Philadelphia, PA",1966-1976
Bristol Jewish Center,"215 Bond Street; Bristol, PA",1962-1971
Beth Israel,"""D"" Street and Roosevelt Blvd.; Philadelphia, PA",1936-1989
Brotherhood Temple Achim,"700 Moore Road; King of Prussia, PA",1975-1978
Shir Ami-Bucks County Jewish Congregation,"PO Box 35; Richboro, PA",1977-1979
Community Torah of Bucks County.,"944 Second Street Pike; Richboro, PA",2017
East Lane Temple,"1100 Oak Lane Avenue; Philadelphia, PA",1950-1972
East Lane Temple,"Cedarbrook Hill; Wyncote, PA",1973-1992
Greater Northeast Congregation,"11001 Bustleton Avenue; Philadelphia, PA",1982-1998
Fox Chase Jewish Community Center,"Borbeck and Ferndale Streets; Philadelphia, PA",1961
