id,synagogue_id,synagogue_name,street_address,city,state,zip_code,start_year,end_year,source,latitude,longitude,formatted_address,geocode_status
d5131afb-3cfa-4466-981c-3c05a7c2f272,15909baa-52d6-4159-95a5-78426bc920e8,Temple Adath Israel of The Main Line,Montgomery and Avenues,Wynnewood,PA,19096,1949.0,1954.0,other_addresses,39.9995913,-75.273018,"Wynnewood, PA 19096, USA",OK
6f58e589-74a3-4f4b-9b24-638b9850f9c1,b7e19b4f-b532-4ecc-8775-451a31ed6848,Temple Adath Israel,Old Lancaster Road and Highland Avenue,Merion Station,PA,19066,1955.0,1978.0,other_addresses,40.0017251,-75.2399058,"Old Lancaster Rd & N Highland Ave, Merion Station, PA 19066, USA",OK
aed21377-c4ab-4d4d-94ba-8812445d6078,b7e19b4f-b532-4ecc-8775-451a31ed6848,Temple Adath Israel,250 North Highland Avenue,Merion Station,PA,19066,1998.0,,other_addresses,40.0007553,-75.2404777,"250 N Highland Ave, Merion Station, PA 19066, USA",OK
d9b0e251-e077-41f5-8fdd-94972914fda6,3a3a7b77-55b5-403a-9e6a-30670a4064a8,Adath Jeshurun,2109 North Broad Street,Philadelphia,PA,19122,1936.0,1959.0,other_addresses,39.9852194,-75.156043,"2109 N Broad St, Philadelphia, PA 19122, USA",OK
b3b3ad3c-f328-4b94-9db2-03a09262814d,3a3a7b77-55b5-403a-9e6a-30670a4064a8,Adath Jeshurun,509 Ashbourne Road,Elkins Park,PA,19027,1960.0,1963.0,other_addresses,40.0704384,-75.1303664,"509 Ashbourne Rd, Elkins Park, PA 19027, USA",OK
4cf4c515-aa8d-4922-9f2f-1a5286560413,3a3a7b77-55b5-403a-9e6a-30670a4064a8,Adath Jeshurun,Ashbourne Road,Elkins Park,PA,,1964.0,1992.0,other_addresses,40.0712427,-75.1336102,"Ashbourne Rd, Elkins Park, PA, USA",OK
52db7cf8-b629-4a43-8908-3a8841b454a2,3a3a7b77-55b5-403a-9e6a-30670a4064a8,Adath Jeshurun,7763 Old York Road,Melrose Park,PA,19027,1994.0,,other_addresses,40.07045780000001,-75.133484,"7763 Old York Rd, Melrose Park, PA 19027, USA",OK
9532d79f-6f05-4674-94b7-29de9cfc6933,2ea1467f-31f9-4f2a-925e-1eaeb766081f,Adath Sholom,Marshall and Ritner Streets,Philadelphia,PA,19148,1961.0,2001.0,other_addresses,39.9190409,-75.1579948,"S Marshall St & W Ritner St, Philadelphia, PA 19148, USA",OK
2ab9d4b8-e89b-4ccd-a2fd-79b5e2be7452,ef6085b4-94f8-4072-ae87-c2474b49d687,Adath Zion,4334 Paul Street,Philadelphia,PA,19124,1936.0,1957.0,other_addresses,40.0113314,-75.0870742,"4334 Paul St, Philadelphia, PA 19124, USA",OK
1b68d1e3-3db5-45eb-9d1a-c4a98b3c3a79,ef6085b4-94f8-4072-ae87-c2474b49d687,Adath Zion,Pennway and Friendship Streets,Philadelphia,PA,19111,1959.0,1996.0,other_addresses,40.0537676,-75.0774919,"Pennway St & Friendship St, Philadelphia, PA 19111, USA",OK
e43e3bfb-0c8a-4167-9b56-4b8d65bea9bc,ef6085b4-94f8-4072-ae87-c2474b49d687,Adath Zion,7101 Pennway Street,Philadelphia,PA,19111,1977.0,2007.0,other_addresses,40.0535108,-75.076537,"7101 Pennway St, Philadelphia, PA 19111, USA",OK
b51b474f-6c77-4922-a4d6-ac0cb71c7c09,f3257b9c-e126-4e7c-b314-c69353f30926,Ahavath Israel of Kensington,2304-6 North Mascher Street,Philadelphia,PA,19133,1936.0,,other_addresses,39.9854163,-75.1343972,"2304-6 N Mascher St, Philadelphia, PA 19133, USA",OK
666fc742-2693-4259-b8e0-c1f83392e5b9,6ce68580-5149-4aae-bd9a-dc27f1951ada,Ahavath Israel,2302 North Mascher Street,Philadelphia,PA,19133,1950.0,1981.0,other_addresses,39.985338,-75.13441100000001,"2302 N Mascher St, Philadelphia, PA 19133, USA",OK
24656db7-e733-4c04-aaf3-c96970f9a6f6,6ce68580-5149-4aae-bd9a-dc27f1951ada,Ahavath Israel,7976 Summerdale Avenue,Philadelphia,PA,19111,1982.0,1988.0,other_addresses,40.0650933,-75.0616639,"7976 Summerdale Ave, Philadelphia, PA 19111, USA",OK
a15168cf-6aad-420d-a378-7443913c8bc6,660fd40f-3fa0-4d49-9e3a-ff10d9f258d4,Ahavath Israel of Oak Lane,6735 North 16th Street,Philadelphia,PA,19126,1950.0,1954.0,other_addresses,40.0564921,-75.1440302,"6735 N 16th St, Philadelphia, PA 19126, USA",OK
c0113a87-59f8-4507-90bc-582e134be16e,660fd40f-3fa0-4d49-9e3a-ff10d9f258d4,Ahavath Israel of Oak Lane,6817 North 16th Street,Philadelphia,PA,19126,1955.0,1964.0,other_addresses,40.0577493,-75.1439841,"6817 N 16th St, Philadelphia, PA 19126, USA",OK
f27f37e2-eb2f-4a0b-a077-afa6efd8e34e,660fd40f-3fa0-4d49-9e3a-ff10d9f258d4,Ahavath Israel of Oak Lane,6735 North 16th Street,Philadelphia,PA,19126,1965.0,1980.0,other_addresses,40.0564921,-75.1440302,"6735 N 16th St, Philadelphia, PA 19126, USA",OK
